id,phone,name,state,lastMessageAt,lastActivityAt,createdAt,updatedAt
clrc_conv_45,918831287758,Aarav Khan,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_46,918737990258,Neha Gupta,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_47,918660189449,Ishaan Verma,IDLE,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03
clrc_conv_48,918096683448,Vikram Patel,IDLE,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03,2026-04-29 16:24:03
clrc_conv_49,917260641792,Priya Sharma,IDLE,2026-05-05 16:24:03,2026-05-05 16:24:03,2026-05-05 16:24:03,2026-05-05 16:24:03
clrc_conv_50,917890421156,Rohan Patel,IDLE,2026-05-02 16:24:03,2026-05-02 16:24:03,2026-05-02 16:24:03,2026-05-02 16:24:03
clrc_conv_51,919097771014,Rohan Malhotra,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_52,917026895342,Rohan Sharma,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_53,917233212774,Rohan Singh,IDLE,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03
clrc_conv_54,918198721249,Sana Joshi,IDLE,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_conv_55,918478459850,Sana Gupta,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_56,918354997801,Aditya Singh,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_57,918958678055,Aditya Malhotra,IDLE,2026-05-10 16:24:03,2026-05-10 16:24:03,2026-05-10 16:24:03,2026-05-10 16:24:03
clrc_conv_58,919063113299,Aarav Singh,IDLE,2026-04-30 16:24:03,2026-04-30 16:24:03,2026-04-30 16:24:03,2026-04-30 16:24:03
clrc_conv_59,918609260539,Vikram Sharma,IDLE,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03
clrc_conv_60,917699601279,Ananya Khan,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_61,917086492154,Aarav Verma,IDLE,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_conv_62,918606118193,Ishaan Reddy,IDLE,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03
clrc_conv_63,919992799568,Priya Khan,IDLE,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03,2026-04-19 16:24:03
clrc_conv_64,918483756187,Ishaan Reddy,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_65,917547054771,Aarav Patel,IDLE,2026-05-05 16:24:03,2026-05-05 16:24:03,2026-05-05 16:24:03,2026-05-05 16:24:03
clrc_conv_66,917982233145,Aarav Patel,IDLE,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03,2026-05-04 16:24:03
clrc_conv_67,917352407992,Priya Gupta,IDLE,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_conv_68,919751924107,Aditya Khan,IDLE,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03
clrc_conv_69,918022435850,Ananya Verma,IDLE,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03,2026-04-28 16:24:03
clrc_conv_70,919085575935,Ananya Reddy,IDLE,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03
clrc_conv_71,919267324040,Aditya Patel,IDLE,2026-05-06 16:24:03,2026-05-06 16:24:03,2026-05-06 16:24:03,2026-05-06 16:24:03
clrc_conv_72,917058816503,Rohan Singh,IDLE,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03
clrc_conv_73,917012277546,Ishaan Reddy,IDLE,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03
clrc_conv_74,919477199316,Ananya Das,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
clrc_conv_75,919072536494,Aditya Khan,IDLE,2026-05-12 16:24:03,2026-05-12 16:24:03,2026-05-12 16:24:03,2026-05-12 16:24:03
clrc_conv_76,919787312759,Ananya Patel,IDLE,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03
clrc_conv_77,919547658104,Meera Singh,IDLE,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03,2026-05-03 16:24:03
clrc_conv_78,919927083898,Sana Patel,IDLE,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03
clrc_conv_79,919071780656,Neha Reddy,IDLE,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03,2026-04-21 16:24:03
clrc_conv_80,919402769598,Meera Gupta,IDLE,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03
clrc_conv_81,918016539267,Aditya Gupta,IDLE,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03
clrc_conv_82,918364994761,Neha Singh,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
clrc_conv_83,918581717439,Ananya Sharma,IDLE,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_conv_84,919960475848,Ishaan Singh,IDLE,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_conv_85,917782881455,Rohan Khan,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
clrc_conv_86,917483480924,Meera Gupta,IDLE,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03,2026-04-25 16:24:03
clrc_conv_87,917864654896,Aditya Reddy,IDLE,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03,2026-04-17 16:24:03
clrc_conv_88,918270791562,Sana Khan,IDLE,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_conv_89,919084106790,Rohan Khan,IDLE,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03,2026-05-09 16:24:03
clrc_conv_90,919099355263,Priya Joshi,IDLE,2026-05-02 16:24:03,2026-05-02 16:24:03,2026-05-02 16:24:03,2026-05-02 16:24:03
clrc_conv_91,918707204079,Sana Das,IDLE,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03,2026-04-27 16:24:03
clrc_conv_92,918944889893,Aditya Khan,IDLE,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03
clrc_conv_93,919490195364,Ishaan Verma,IDLE,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03,2026-04-15 16:24:03
clrc_conv_94,918493010029,Aarav Reddy,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_95,919583386921,Meera Khan,IDLE,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03
clrc_conv_96,919530434128,Ananya Joshi,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_97,918738103649,Ishaan Patel,IDLE,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_conv_98,918975342010,Ishaan Sharma,IDLE,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_conv_99,918467682720,Rohan Joshi,IDLE,2026-05-06 16:24:03,2026-05-06 16:24:03,2026-05-06 16:24:03,2026-05-06 16:24:03
clrc_conv_100,919981279500,Neha Gupta,IDLE,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03,2026-05-11 16:24:03
